6/17/22 16:14:30,22 JUN 22 275 P,300,4.20,CBOE,4.19x4.25,-0.49,33.11%,274.98,,
6/17/22 16:13:05,21 JUN 22 273 P,215,2.35,PHLX,2.32x2.35,-0.40,28.46%,274.91,,
6/17/22 16:11:50,21 JUN 22 273 P,423,2.32,ISE,2.31x2.32,-0.39,28.65%,275.04,Spread,
6/17/22 16:11:50,21 JUN 22 277 C,423,1.87,ISE,1.86x1.87,0.40,23.42%,275.04,Spread,
6/17/22 16:11:49,21 JUN 22 260 P,200,0.21,BEST,.21x.23,-0.05,33.47%,275.04,Spread,
6/17/22 16:09:58,21 JUN 22 276 C,310,2.36,CBOE,2.35x2.36,0.46,23.64%,275.15,,
6/17/22 16:09:18,22 JUN 22 273 P,163,3.21,BATS,3.21x3.25,-0.41,33.21%,275.15,,
6/17/22 16:08:40,21 JUN 22 281 C,200,0.78,PHLX,.78x.80,0.20,23.89%,275.07,,
6/17/22 16:08:23,21 JUN 22 279 C,150,1.23,PHLX,1.23x1.25,0.29,23.58%,275.07,,
6/17/22 16:07:31,21 JUN 22 275 C,187,2.74,NYSE,2.73x2.74,0.52,22.71%,275.16,,
6/17/22 16:04:44,21 JUN 22 280 C,300,1.00,BEST,.99x1.00,0.24,24.23%,274.95,,
6/17/22 16:04:05,21 JUN 22 270 P,200,1.36,BEST,1.35x1.37,-0.27,28.85%,274.95,,
6/17/22 16:03:51,30 JUN 22 274 P,250,7.00,NYSE,6.98x7.00,-0.46,36.85%,274.94,,
6/17/22 16:03:49,21 JUN 22 275 C,309,2.70,NYSE,2.70x2.71,0.51,23.34%,274.94,,
6/17/22 16:01:16,22 JUN 22 281 C,200,1.49,PHLX,1.47x1.49,0.27,28.94%,274.86,,
6/17/22 16:00:14,21 JUN 22 265 P,197,0.53,NASDAQ,.53x.55,-0.12,30.13%,274.69,,
6/17/22 16:00:12,22 JUN 22 276 C,200,3.15,BOX,3.15x3.20,0.46,28.88%,274.69,,
6/17/22 15:59:59,24 JUN 22 265 P,180,2.10,BEST,2.09x2.11,-0.24,39.02%,274.98,,
6/17/22 15:59:55,24 JUN 22 274 P,250,5.15,NYSE,5.14x5.15,-0.46,37.62%,274.98,,
6/17/22 15:59:50,21 JUN 22 273 P,150,2.39,PHLX,2.38x2.43,-0.40,29.04%,274.98,,
6/17/22 15:59:11,24 JUN 22 274 P,204,5.07,NYSE,5.05x5.07,-0.46,37.09%,274.98,,
6/17/22 15:59:07,29 JUN 22 290 C,200,1.71,BEST,1.71x1.71,0.20,32.44%,274.98,,
6/17/22 15:58:48,21 JUN 22 261 P,156,0.27,NYSE,.26x.27,-0.06,33.59%,275.15,,
6/17/22 15:58:48,21 JUN 22 261 P,156,0.27,BATS,.26x.27,-0.06,33.59%,275.15,,
6/17/22 15:55:56,21 JUN 22 261 P,193,0.24,BATS,.23x.24,-0.06,32.82%,275.21,,
6/17/22 15:55:56,21 JUN 22 261 P,249,0.24,NASDAQ,.22x.24,-0.06,32.82%,275.21,,
6/17/22 15:55:52,24 JUN 22 274 P,196,4.85,NYSE,4.84x4.85,-0.45,36.32%,275.21,,
6/17/22 15:55:37,22 JUN 22 275 C,208,4.06,NASDAQ,4.04x4.06,0.52,30.28%,275.21,,
6/17/22 15:55:26,21 JUN 22 284 C,567,0.43,NYSE,.42x.43,0.12,25.12%,275.21,,
